kd_PhlF,kd_YPF,kd_HlyIIR,kd_BetI,kd_AmtR,Pmin,Pmax,Window
0.0005,0.0005,0.0005,0.0005,0.0005,0.24394863534,0.24395088089,2.245549e-06
0.0005,0.0005,0.0005,0.0005,0.00075,0.244970322308,0.244973249156,2.926848e-06
0.0005,0.0005,0.0005,0.0005,0.001,0.246363619479,0.246368688533,5.069054e-06
0.0005,0.0005,0.0005,0.00075,0.0005,0.242263296873,0.242265058937,1.762064e-06
0.0005,0.0005,0.0005,0.00075,0.00075,0.243280942724,0.243283499313,2.556589e-06
0.0005,0.0005,0.0005,0.00075,0.001,0.244669092269,0.24467335818,4.265911e-06
0.0005,0.0005,0.0005,0.001,0.0005,0.238443668287,0.238445450993,1.782706e-06
0.0005,0.0005,0.0005,0.001,0.00075,0.239451404445,0.239454165625,2.76118e-06
0.0005,0.0005,0.0005,0.001,0.001,0.240826184265,0.240830738361,4.554097e-06
0.0005,0.0005,0.00075,0.0005,0.0005,0.243948624115,0.243950937049,2.312933e-06
0.0005,0.0005,0.00075,0.0005,0.00075,0.244969503743,0.244973531548,4.027805e-06
0.0005,0.0005,0.00075,0.0005,0.001,0.246363167802,0.246368620065,5.452263e-06
0.0005,0.0005,0.00075,0.00075,0.0005,0.242263155693,0.242265699992,2.544299e-06
0.0005,0.0005,0.00075,0.00075,0.00075,0.243280525343,0.24328412342,3.598077e-06
0.0005,0.0005,0.00075,0.00075,0.001,0.244667347362,0.244674092924,6.745562e-06
0.0005,0.0005,0.00075,0.001,0.0005,0.238444072038,0.238446940159,2.868121e-06
0.0005,0.0005,0.00075,0.001,0.00075,0.239451742325,0.239455627371,3.885046e-06
0.0005,0.0005,0.00075,0.001,0.001,0.24082545462,0.240832181956,6.727336e-06
0.0005,0.0005,0.001,0.0005,0.0005,0.243947917125,0.24395128167,3.364545e-06
0.0005,0.0005,0.001,0.0005,0.00075,0.244968458113,0.244973859201,5.401088e-06
0.0005,0.0005,0.001,0.0005,0.001,0.246361907058,0.246368813701,6.906642e-06
0.0005,0.0005,0.001,0.00075,0.0005,0.242262723164,0.242266561751,3.838587e-06
0.0005,0.0005,0.001,0.00075,0.00075,0.2432797047,0.243284948236,5.243535e-06
0.0005,0.0005,0.001,0.00075,0.001,0.24466621021,0.244674766608,8.556398e-06
0.0005,0.0005,0.001,0.001,0.0005,0.238445300537,0.238448516172,3.215636e-06
0.0005,0.0005,0.001,0.001,0.00075,0.239452000184,0.239457394828,5.394644e-06
0.0005,0.0005,0.001,0.001,0.001,0.240824825555,0.240833982735,9.15718e-06
0.0005,0.00075,0.0005,0.0005,0.0005,0.689245244101,0.68924649067,1.246569e-06
0.0005,0.00075,0.0005,0.0005,0.00075,0.689890094861,0.68989167528,1.580419e-06
0.0005,0.00075,0.0005,0.0005,0.001,0.69076834144,0.690771218831,2.877391e-06
0.0005,0.00075,0.0005,0.00075,0.0005,0.686876185404,0.686877213847,1.028443e-06
0.0005,0.00075,0.0005,0.00075,0.00075,0.686876185404,0.686877213847,1.028443e-06
0.0005,0.00075,0.0005,0.00075,0.001,0.688405768994,0.688408228391,2.459397e-06
0.0005,0.00075,0.0005,0.001,0.0005,0.681348988679,0.681350099867,1.111188e-06
0.0005,0.00075,0.0005,0.001,0.00075,0.682002232868,0.68200381531,1.582442e-06
0.0005,0.00075,0.0005,0.001,0.001,0.682892422207,0.682894893419,2.471213e-06
0.0005,0.00075,0.00075,0.0005,0.0005,0.689245070215,0.689246722859,1.652644e-06
0.0005,0.00075,0.00075,0.0005,0.00075,0.689889697997,0.689891891998,2.194001e-06
0.0005,0.00075,0.00075,0.0005,0.001,0.690767723535,0.69077136152,3.637985e-06
0.0005,0.00075,0.00075,0.00075,0.0005,0.686876613455,0.686878017947,1.404492e-06
0.0005,0.00075,0.00075,0.00075,0.00075,0.687523970169,0.68752586615,1.895981e-06
0.0005,0.00075,0.00075,0.00075,0.001,0.688405839237,0.688408961605,3.122368e-06
0.0005,0.00075,0.00075,0.001,0.0005,0.681350666664,0.681352101402,1.434738e-06
0.0005,0.00075,0.00075,0.001,0.00075,0.682003828864,0.682005771238,1.942374e-06
0.0005,0.00075,0.00075,0.001,0.001,0.682893469148,0.682896825375,3.356227e-06
0.0005,0.00075,0.001,0.0005,0.0005,0.689245276927,0.689246900773,1.623845e-06
0.0005,0.00075,0.001,0.0005,0.00075,0.689889373981,0.689892102135,2.728154e-06
0.0005,0.00075,0.001,0.0005,0.001,0.690768011256,0.690771418194,3.406938e-06
0.0005,0.00075,0.001,0.00075,0.0005,0.686877173943,0.686878979401,1.805458e-06
0.0005,0.00075,0.001,0.00075,0.00075,0.687524346097,0.687526780828,2.434731e-06
0.0005,0.00075,0.001,0.00075,0.001,0.688406043612,0.688409828448,3.784836e-06
0.0005,0.00075,0.001,0.001,0.0005,0.681352677869,0.681354514835,1.836966e-06
0.0005,0.00075,0.001,0.001,0.00075,0.682005656645,0.682008189703,2.533058e-06
0.0005,0.00075,0.001,0.001,0.001,0.682894871687,0.682899188192,4.316504e-06
0.0005,0.001,0.0005,0.0005,0.0005,0.942767129207,0.942767860614,7.31407e-07
0.0005,0.001,0.0005,0.0005,0.00075,0.942910645526,0.942911875532,1.230005e-06
0.0005,0.001,0.0005,0.0005,0.001,0.943106529955,0.943108010537,1.480581e-06
0.0005,0.001,0.0005,0.00075,0.0005,0.941867993768,0.941868763009,7.69241e-07
0.0005,0.001,0.0005,0.00075,0.00075,0.942013656068,0.942014684501,1.028433e-06
0.0005,0.001,0.0005,0.00075,0.001,0.942211833389,0.942213451974,1.618585e-06
0.0005,0.001,0.0005,0.001,0.0005,0.939693395632,0.939694203839,8.08207e-07
0.0005,0.001,0.0005,0.001,0.00075,0.93984358566,0.939844680173,1.094513e-06
0.0005,0.001,0.0005,0.001,0.001,0.940047920382,0.940049653704,1.733322e-06
0.0005,0.001,0.00075,0.0005,0.0005,0.942767034989,0.942767938588,9.036e-07
0.0005,0.001,0.00075,0.0005,0.00075,0.942910480762,0.942911937665,1.456903e-06
0.0005,0.001,0.00075,0.0005,0.001,0.943106142413,0.943108069743,1.927329e-06
0.0005,0.001,0.00075,0.00075,0.0005,0.941868122248,0.941869066786,9.44538e-07
0.0005,0.001,0.00075,0.00075,0.00075,0.942013641178,0.942014980865,1.339686e-06
0.0005,0.001,0.00075,0.00075,0.001,0.942211696746,0.942213734324,2.037578e-06
0.0005,0.001,0.00075,0.001,0.0005,0.939694228614,0.939694999415,7.70801e-07
0.0005,0.001,0.00075,0.001,0.00075,0.939844174148,0.939845472282,1.298135e-06
0.0005,0.001,0.00075,0.001,0.001,0.940048700607,0.94005043021,1.729603e-06
0.0005,0.001,0.001,0.0005,0.0005,0.94276692719,0.942768025919,1.098729e-06
0.0005,0.001,0.001,0.0005,0.00075,0.942910589752,0.9429120072,1.417449e-06
0.0005,0.001,0.001,0.0005,0.001,0.943105961202,0.943108138219,2.177018e-06
0.0005,0.001,0.001,0.00075,0.0005,0.941868282029,0.941869433829,1.1518e-06
0.0005,0.001,0.001,0.00075,0.00075,0.942013792556,0.942015340411,1.547855e-06
0.0005,0.001,0.001,0.00075,0.001,0.942212136068,0.942214066507,1.930439e-06
0.0005,0.001,0.001,0.001,0.0005,0.939695001655,0.939695981002,9.79347e-07
0.0005,0.001,0.001,0.001,0.00075,0.939844766969,0.939846456964,1.689994e-06
0.0005,0.001,0.001,0.001,0.001,0.940049341724,0.940051386851,2.045127e-06
0.00075,0.0005,0.0005,0.0005,0.0005,0.231677794539,0.231679695931,1.901392e-06
0.00075,0.0005,0.0005,0.0005,0.00075,0.232430248258,0.23243279637,2.548112e-06
0.00075,0.0005,0.0005,0.0005,0.001,0.233457740013,0.233461962763,4.22275e-06
0.00075,0.0005,0.0005,0.00075,0.0005,0.230012697687,0.230014307466,1.609779e-06
0.00075,0.0005,0.0005,0.00075,0.00075,0.230761241056,0.230764060665,2.819609e-06
0.00075,0.0005,0.0005,0.00075,0.001,0.231784117292,0.231787897467,3.780175e-06
0.00075,0.0005,0.0005,0.001,0.0005,0.231784117292,0.231787897467,3.780175e-06
0.00075,0.0005,0.0005,0.001,0.00075,0.231784117292,0.231787897467,3.780175e-06
0.00075,0.0005,0.0005,0.001,0.001,0.228001055214,0.228005090653,4.035439e-06
0.00075,0.0005,0.00075,0.0005,0.0005,0.231677814383,0.231679757681,1.943299e-06
0.00075,0.0005,0.00075,0.0005,0.00075,0.232429659222,0.232433128689,3.469466e-06
0.00075,0.0005,0.00075,0.0005,0.001,0.233457527363,0.233461945615,4.418252e-06
0.00075,0.0005,0.00075,0.00075,0.0005,0.230012800473,0.230014946171,2.145698e-06
0.00075,0.0005,0.00075,0.00075,0.00075,0.230761465527,0.230764536414,3.070887e-06
0.00075,0.0005,0.00075,0.00075,0.001,0.231783520926,0.231788725307,5.204381e-06
0.00075,0.0005,0.00075,0.001,0.0005,0.22625105381,0.2262534491,2.39529e-06
0.00075,0.0005,0.00075,0.001,0.00075,0.226991108589,0.226994331099,3.22251e-06
0.00075,0.0005,0.00075,0.001,0.001,0.228001262002,0.228006571637,5.309635e-06
0.00075,0.0005,0.001,0.0005,0.0005,0.231677348773,0.231680141218,2.792446e-06
0.00075,0.0005,0.001,0.0005,0.00075,0.232428778106,0.232433520878,4.742772e-06
0.00075,0.0005,0.001,0.0005,0.001,0.233456496846,0.233462200021,5.703176e-06
0.00075,0.0005,0.001,0.00075,0.0005,0.230012811236,0.230015846754,3.035518e-06
0.00075,0.0005,0.001,0.00075,0.00075,0.230761186274,0.230765372783,4.186509e-06
0.00075,0.0005,0.001,0.00075,0.001,0.231782906962,0.231789479852,6.57289e-06
0.00075,0.0005,0.001,0.001,0.0005,0.226252018644,0.226255172038,3.153394e-06
0.00075,0.0005,0.001,0.001,0.00075,0.226991735198,0.226996112463,4.377265e-06
0.00075,0.0005,0.001,0.001,0.001,0.228001121916,0.228008442231,7.320315e-06
0.00075,0.00075,0.0005,0.0005,0.0005,0.683850560764,0.683851664342,1.103578e-06
0.00075,0.00075,0.0005,0.0005,0.00075,0.684380857472,0.684382382402,1.52493e-06
0.00075,0.00075,0.0005,0.0005,0.001,0.685103994541,0.685106633463,2.638922e-06
0.00075,0.00075,0.0005,0.00075,0.0005,0.681443073591,0.681443988297,9.14706e-07
0.00075,0.00075,0.0005,0.00075,0.00075,0.681974880756,0.68197659953,1.718774e-06
0.00075,0.00075,0.0005,0.00075,0.001,0.682701030335,0.682703220427,2.190092e-06
0.00075,0.00075,0.0005,0.001,0.0005,0.675828721209,0.675829727288,1.006079e-06
0.00075,0.00075,0.0005,0.001,0.00075,0.676364715329,0.676366179328,1.464e-06
0.00075,0.00075,0.0005,0.001,0.001,0.677095861309,0.677098149146,2.287837e-06
0.00075,0.00075,0.00075,0.0005,0.0005,0.683850423614,0.68385191297,1.489356e-06
0.00075,0.00075,0.00075,0.0005,0.00075,0.684380593879,0.684382629333,2.035455e-06
0.00075,0.00075,0.00075,0.0005,0.001,0.685103598066,0.685106822967,3.224901e-06
0.00075,0.00075,0.00075,0.00075,0.0005,0.681443525936,0.681444816233,1.290298e-06
0.00075,0.00075,0.00075,0.00075,0.00075,0.68197518295,0.681977435827,2.252877e-06
0.00075,0.00075,0.00075,0.00075,0.001,0.68270112523,0.682704006574,2.881344e-06
0.00075,0.00075,0.00075,0.001,0.0005,0.675830424426,0.675831772429,1.348003e-06
0.00075,0.00075,0.00075,0.001,0.00075,0.676366372767,0.676368189479,1.816712e-06
0.00075,0.00075,0.00075,0.001,0.001,0.677097101133,0.677100152702,3.051568e-06
0.00075,0.00075,0.001,0.0005,0.0005,0.683850209504,0.68385219517,1.985666e-06
0.00075,0.00075,0.001,0.0005,0.00075,0.684380450174,0.684382862789,2.412616e-06
0.00075,0.00075,0.001,0.0005,0.001,0.68510387826,0.685106896576,3.018316e-06
0.00075,0.00075,0.001,0.00075,0.0005,0.681444161022,0.681445806571,1.645548e-06
0.00075,0.00075,0.001,0.00075,0.00075,0.681976117135,0.681978308454,2.19132e-06
0.00075,0.00075,0.001,0.00075,0.001,0.682701401416,0.682704928359,3.526944e-06
0.00075,0.00075,0.001,0.001,0.0005,0.675832623787,0.675834236397,1.61261e-06
0.00075,0.00075,0.001,0.001,0.00075,0.676368348774,0.676370670281,2.321507e-06
0.00075,0.00075,0.001,0.001,0.001,0.67709886642,0.677102592891,3.726471e-06
0.00075,0.001,0.0005,0.0005,0.0005,0.941844966493,0.941845647215,6.80722e-07
0.00075,0.001,0.0005,0.0005,0.00075,0.941969336734,0.941970516517,1.179783e-06
0.00075,0.001,0.0005,0.0005,0.001,0.942139300352,0.942140721801,1.421448e-06
0.00075,0.001,0.0005,0.00075,0.0005,0.940930484196,0.940931241772,7.57575e-07
0.00075,0.001,0.0005,0.00075,0.00075,0.94105667112,0.941057691381,1.020261e-06
0.00075,0.001,0.0005,0.00075,0.001,0.941228481622,0.941230092155,1.610533e-06
0.00075,0.001,0.0005,0.001,0.0005,0.938718935893,0.938719716301,7.80408e-07
0.00075,0.001,0.0005,0.001,0.00075,0.93884892127,0.938849938587,1.017317e-06
0.00075,0.001,0.0005,0.001,0.001,0.93902584068,0.939027480831,1.64015e-06
0.00075,0.001,0.00075,0.0005,0.0005,0.941844881959,0.941845728409,8.4645e-07
0.00075,0.001,0.00075,0.0005,0.00075,0.941969221709,0.941970583518,1.361809e-06
0.00075,0.001,0.00075,0.0005,0.001,0.942139028828,0.942140788303,1.759475e-06
0.00075,0.001,0.00075,0.00075,0.0005,0.94093063848,0.940931551214,9.12734e-07
0.00075,0.001,0.00075,0.00075,0.00075,0.941056790544,0.941057996956,1.206412e-06
0.00075,0.001,0.00075,0.00075,0.001,0.941228448643,0.941230384349,1.935706e-06
0.00075,0.001,0.00075,0.001,0.0005,0.938719790021,0.938720526758,7.36737e-07
0.00075,0.001,0.00075,0.001,0.00075,0.938849515246,0.938850749146,1.233901e-06
0.00075,0.001,0.00075,0.001,0.001,0.939026648702,0.9390282762,1.627498e-06
0.00075,0.001,0.001,0.0005,0.0005,0.941844752809,0.941845820227,1.067418e-06
0.00075,0.001,0.001,0.0005,0.00075,0.941969040496,0.941970683296,1.6428e-06
0.00075,0.001,0.001,0.0005,0.001,0.942138865102,0.942140863567,1.998465e-06
